Identifier,ProductCategory,ProductSubCategory,AnimalSpecies,AnimalSubSpecies,RiskfeedAnimalSubSpecies,AnimalSubSpeciesWeight,AnimalSubSpeciesConsumption,AnimalSubspeciesCompoundFeedIntake,Year,MinAnimalSubSpeciesCompoundFeedIntake,MaxAnimalSubSpeciesCompoundFeedIntake,,,
1.1.1.1.1,Grains,Wheat,Pigs,Piglet,Big<25kg,20,1,28.9,2016,8.75,28.9,,, 
1.1.1.1.2,Grains,Wheat,Pigs,Piglet,Big<25kg,20,1,16.4,2015,8.75,28.9,,,
1.1.1.1.3,Grains,Wheat,Pigs,Piglet,Big<25kg,20,1,17.5,2014,8.75,28.9,,,
1.1.1.1.4,Grains,Wheat,Pigs,Piglet,Big<25kg,20,1,17.9,2013,8.75,28.9,,,
1.1.1.1.5,Grains,Wheat,Pigs,Piglet,Big<25kg,20,1,8.75,2017,8.75,28.9,,,
1.2.1.1.1,Grains,Barley,Pigs,Piglet,Big<25kg,20,1,29,2016,29,32.3,,,
1.2.1.1.2,Grains,Barley,Pigs,Piglet,Big<25kg,20,1,30,2015,29,32.3,,,
1.2.1.1.3,Grains,Barley,Pigs,Piglet,Big<25kg,20,1,30.5,2014,29,32.3,,,
1.2.1.1.4,Grains,Barley,Pigs,Piglet,Big<25kg,20,1,32.3,2013,29,32.3,,,
1.2.1.1.5,Grains,Barley,Pigs,Piglet,Big<25kg,20,1,30.65,2017,29,32.3,,,
1.3.1.1.1,Grains,Maize,Pigs,Piglet,Big<25kg,20,1,5.6,2016,5.6,26.94,,,
1.3.1.1.2,Grains,Maize,Pigs,Piglet,Big<25kg,20,1,14.1,2015,5.6,26.94,,,
1.3.1.1.3,Grains,Maize,Pigs,Piglet,Big<25kg,20,1,14.5,2014,5.6,26.94,,,
1.3.1.1.4,Grains,Maize,Pigs,Piglet,Big<25kg,20,1,15.8,2013,5.6,26.94,,,
1.3.1.1.4,Grains,Maize,Pigs,Piglet,Big<25kg,20,1,26.94,2017,5.6,26.94,,,
1.4.1.1.1,Grains,Triticale,Pigs,Piglet,Big<25kg,20,1,0,2016,0,0,,,
1.4.1.1.2,Grains,Triticale,Pigs,Piglet,Big<25kg,20,1,0,2015,0,0,,,
1.4.1.1.3,Grains,Triticale,Pigs,Piglet,Big<25kg,20,1,0,2014,0,0,,,
1.4.1.1.4,Grains,Triticale,Pigs,Piglet,Big<25kg,20,1,0,2013,0,0,,,
1.4.1.1.5,Grains,Triticale,Pigs,Piglet,Big<25kg,20,1,0,2017,0,0,,,
1.5.1.1.1,Grains,Rye,Pigs,Piglet,Big<25kg,20,1,0,2016,0,0,,,
1.5.1.1.2,Grains,Rye,Pigs,Piglet,Big<25kg,20,1,0,2015,0,0,,,
1.5.1.1.3,Grains,Rye,Pigs,Piglet,Big<25kg,20,1,0,2014,0,0,,,
1.5.1.1.4,Grains,Rye,Pigs,Piglet,Big<25kg,20,1,0,2013,0,0,,,
1.5.1.1.5,Grains,Rye,Pigs,Piglet,Big<25kg,20,1,0,2017,0,0,,,
1.6.1.1.1,Grains,Sorghum,Pigs,Piglet,Big<25kg,20,1,0,2016,0,0,,,
1.6.1.1.2,Grains,Sorghum,Pigs,Piglet,Big<25kg,20,1,0,2015,0,0,,,
1.6.1.1.3,Grains,Sorghum,Pigs,Piglet,Big<25kg,20,1,0,2014,0,0,,,
1.6.1.1.4,Grains,Sorghum,Pigs,Piglet,Big<25kg,20,1,0,2013,0,0,,,
1.6.1.1.5,Grains,Sorghum,Pigs,Piglet,Big<25kg,20,1,0,2017,0,0,,,
1.7.1.1.1,Grains,Oats,Pigs,Piglet,Big<25kg,20,1,0,2016,0,0,,,
1.7.1.1.2,Grains,Oats,Pigs,Piglet,Big<25kg,20,1,0,2015,0,0,,,
1.7.1.1.3,Grains,Oats,Pigs,Piglet,Big<25kg,20,1,0,2014,0,0,,,
1.7.1.1.4,Grains,Oats,Pigs,Piglet,Big<25kg,20,1,0,2013,0,0,,,
1.7.1.1.5,Grains,Oats,Pigs,Piglet,Big<25kg,20,1,0,2017,0,0,,,
1.8.1.1.1,Grains,Buckwheat/millet,Pigs,Piglet,Big<25kg,20,1,0,2016,0,0,,,
1.8.1.1.2,Grains,Buckwheat/millet,Pigs,Piglet,Big<25kg,20,1,0,2015,0,0,,,
1.8.1.1.3,Grains,Buckwheat/millet,Pigs,Piglet,Big<25kg,20,1,0,2014,0,0,,,
1.8.1.1.4,Grains,Buckwheat/millet,Pigs,Piglet,Big<25kg,20,1,0,2013,0,0,,,
1.8.1.1.5,Grains,Buckwheat/millet,Pigs,Piglet,Big<25kg,20,1,0,2017,0,0,,,
1.9.1.1.1,Grains,CCM,Pigs,Piglet,Big<25kg,20,1,2,2016,0,3,,,
1.9.1.1.2,Grains,CCM,Pigs,Piglet,Big<25kg,20,1,3,2015,0,3,,,
1.9.1.1.3,Grains,CCM,Pigs,Piglet,Big<25kg,20,1,2,2014,0,3,,,
1.9.1.1.4,Grains,CCM,Pigs,Piglet,Big<25kg,20,1,0,2013,0,3,,,
1.9.1.1.5,Grains,CCM,Pigs,Piglet,Big<25kg,20,1,2,2017,0,3,,,
1.10.1.1.1,Grains,Other cereal grains,Pigs,Piglet,Big<25kg,20,1,0,2016,0,0,,,
1.10.1.1.2,Grains,Other cereal grains,Pigs,Piglet,Big<25kg,20,1,0,2015,0,0,,,
1.10.1.1.3,Grains,Other cereal grains,Pigs,Piglet,Big<25kg,20,1,0,2014,0,0,,,
1.10.1.1.4,Grains,Other cereal grains,Pigs,Piglet,Big<25kg,20,1,0,2013,0,0,,,
1.10.1.1.5,Grains,Other cereal grains,Pigs,Piglet,Big<25kg,20,1,0,2017,0,0,,,
2.1.1.1.1,GrainByproduct,Wheat products,Pigs,Piglet,Big<25kg,20,1,2.6,2016,2.6,4.9,,,
2.1.1.1.2,GrainByproduct,Wheat products,Pigs,Piglet,Big<25kg,20,1,4.6,2015,2.6,4.9,,,
2.1.1.1.3,GrainByproduct,Wheat products,Pigs,Piglet,Big<25kg,20,1,3.1,2014,2.6,4.9,,,
2.1.1.1.4,GrainByproduct,Wheat products,Pigs,Piglet,Big<25kg,20,1,4.9,2013,2.6,4.9,,,
2.1.1.1.5,GrainByproduct,Wheat products,Pigs,Piglet,Big<25kg,20,1,0,2017,2.6,4.9,,,
2.2.1.1.1,GrainByproduct,Maize products,Pigs,Piglet,Big<25kg,20,1,0,2016,0,0,,,
2.2.1.1.2,GrainByproduct,Maize products,Pigs,Piglet,Big<25kg,20,1,0,2015,0,0,,,
2.2.1.1.3,GrainByproduct,Maize products,Pigs,Piglet,Big<25kg,20,1,0,2014,0,0,,,
2.2.1.1.4,GrainByproduct,Maize products,Pigs,Piglet,Big<25kg,20,1,0,2013,0,0,,,
2.2.1.1.5,GrainByproduct,Maize products,Pigs,Piglet,Big<25kg,20,1,0,2017,0,0,,,
2.3.1.1.1,GrainByproduct,Rice by-produts,Pigs,Piglet,Big<25kg,20,1,0,2016,0,0,,,
2.3.1.1.2,GrainByproduct,Rice by-produts,Pigs,Piglet,Big<25kg,20,1,0,2015,0,0,,,
2.3.1.1.3,GrainByproduct,Rice by-produts,Pigs,Piglet,Big<25kg,20,1,0,2014,0,0,,,
2.3.1.1.4,GrainByproduct,Rice by-produts,Pigs,Piglet,Big<25kg,20,1,0,2013,0,0,,,
2.3.1.1.5,GrainByproduct,Rice by-produts,Pigs,Piglet,Big<25kg,20,1,0,2017,0,0,,,
2.4.1.1.1,GrainByproduct,By-products other cereal grains,Pigs,Piglet,Big<25kg,20,1,0,2016,0,0,,,
2.4.1.1.2,GrainByproduct,By-products other cereal grains,Pigs,Piglet,Big<25kg,20,1,0,2015,0,0,,,
2.4.1.1.3,GrainByproduct,By-products other cereal grains,Pigs,Piglet,Big<25kg,20,1,0,2014,0,0,,,
2.4.1.1.4,GrainByproduct,By-products other cereal grains,Pigs,Piglet,Big<25kg,20,1,0,2013,0,0,,,
2.4.1.1.5,GrainByproduct,By-products other cereal grains,Pigs,Piglet,Big<25kg,20,1,0,2017,0,0,,,
2.5.1.1.1,GrainByproduct,Bakery products,Pigs,Piglet,Big<25kg,20,1,3.9,2016,1,4,,,
2.5.1.1.2,GrainByproduct,Bakery products,Pigs,Piglet,Big<25kg,20,1,3.6,2015,1,4,,,
2.5.1.1.3,GrainByproduct,Bakery products,Pigs,Piglet,Big<25kg,20,1,4,2014,1,4,,,
2.5.1.1.4,GrainByproduct,Bakery products,Pigs,Piglet,Big<25kg,20,1,1,2013,1,4,,,
2.5.1.1.5,GrainByproduct,Bakery products,Pigs,Piglet,Big<25kg,20,1,4,2017,1,4,,,
2.6.1.1.1,GrainByproduct,DDGS,Pigs,Piglet,Big<25kg,20,1,0,2016,0,0,,,
2.6.1.1.2,GrainByproduct,DDGS,Pigs,Piglet,Big<25kg,20,1,0,2015,0,0,,,
2.6.1.1.3,GrainByproduct,DDGS,Pigs,Piglet,Big<25kg,20,1,0,2014,0,0,,,
2.6.1.1.4,GrainByproduct,DDGS,Pigs,Piglet,Big<25kg,20,1,0,2013,0,0,,,
2.6.1.1.5,GrainByproduct,DDGS,Pigs,Piglet,Big<25kg,20,1,0,2013,0,0,,,
3.1.1.1.1,OilseedByproduct,Soya expeller/extracted,Pigs,Piglet,Big<25kg,20,1,12.5,2016,9.69,12.5,,,
3.1.1.1.2,OilseedByproduct,Soya expeller/extracted,Pigs,Piglet,Big<25kg,20,1,12.5,2015,9.69,12.5,,,
3.1.1.1.3,OilseedByproduct,Soya expeller/extracted,Pigs,Piglet,Big<25kg,20,1,12.5,2014,9.69,12.5,,,
3.1.1.1.4,OilseedByproduct,Soya expeller/extracted,Pigs,Piglet,Big<25kg,20,1,12.5,2013,9.69,12.5,,,
3.1.1.1.5,OilseedByproduct,Soya expeller/extracted,Pigs,Piglet,Big<25kg,20,1,9.69,2017,9.69,12.5,,,
3.2.1.1.1,OilseedByproduct,Sunflowerseed expeller/extracted,Pigs,Piglet,Big<25kg,20,1,1.8,2016,1.8,3,,,
3.2.1.1.2,OilseedByproduct,Sunflowerseed expeller/extracted,Pigs,Piglet,Big<25kg,20,1,3,2015,1.8,3,,,
3.2.1.1.3,OilseedByproduct,Sunflowerseed expeller/extracted,Pigs,Piglet,Big<25kg,20,1,3,2014,1.8,3,,,
3.2.1.1.4,OilseedByproduct,Sunflowerseed expeller/extracted,Pigs,Piglet,Big<25kg,20,1,2.3,2013,1.8,3,,,
3.2.1.1.5,OilseedByproduct,Sunflowerseed expeller/extracted,Pigs,Piglet,Big<25kg,20,1,3,2017,1.8,3,,,
3.3.1.1.1,OilseedByproduct,Coconut/copra expeller/extracted,Pigs,Piglet,Big<25kg,20,1,0,2016,0,0,,,
3.3.1.1.2,OilseedByproduct,Coconut/copra expeller/extracted,Pigs,Piglet,Big<25kg,20,1,0,2015,0,0,,,
3.3.1.1.3,OilseedByproduct,Coconut/copra expeller/extracted,Pigs,Piglet,Big<25kg,20,1,0,2014,0,0,,,
3.3.1.1.4,OilseedByproduct,Coconut/copra expeller/extracted,Pigs,Piglet,Big<25kg,20,1,0,2013,0,0,,,
3.3.1.1.5,OilseedByproduct,Coconut/copra expeller/extracted,Pigs,Piglet,Big<25kg,20,1,0,2017,0,0,,,
3.4.1.1.1,OilseedByproduct,Palmkernel expeller/extracted,Pigs,Piglet,Big<25kg,20,1,0,2016,0,0,,,
3.4.1.1.2,OilseedByproduct,Palmkernel expeller/extracted,Pigs,Piglet,Big<25kg,20,1,0,2015,0,0,,,
3.4.1.1.3,OilseedByproduct,Palmkernel expeller/extracted,Pigs,Piglet,Big<25kg,20,1,0,2014,0,0,,,
3.4.1.1.4,OilseedByproduct,Palmkernel expeller/extracted,Pigs,Piglet,Big<25kg,20,1,0,2013,0,0,,,
3.4.1.1.5,OilseedByproduct,Palmkernel expeller/extracted,Pigs,Piglet,Big<25kg,20,1,0,2017,0,0,,,
3.5.1.1.1,OilseedByproduct,"Rapeseed, expeller/extracted",Pigs,Piglet,Big<25kg,20,1,0.9,2016,0,1,,,
3.5.1.1.2,OilseedByproduct,"Rapeseed, expeller/extracted",Pigs,Piglet,Big<25kg,20,1,0.8,2015,0,1,,,
3.5.1.1.3,OilseedByproduct,"Rapeseed, expeller/extracted",Pigs,Piglet,Big<25kg,20,1,1,2014,0,1,,,
3.5.1.1.4,OilseedByproduct,"Rapeseed, expeller/extracted",Pigs,Piglet,Big<25kg,20,1,0,2013,0,1,,,
3.5.1.1.5,OilseedByproduct,"Rapeseed, expeller/extracted",Pigs,Piglet,Big<25kg,20,1,0.75,2017,0,1,,,
3.6.1.1.1,OilseedByproduct,Maize germ meal,Pigs,Piglet,Big<25kg,20,1,0,2016,0,0,,,
3.6.1.1.2,OilseedByproduct,Maize germ meal,Pigs,Piglet,Big<25kg,20,1,0,2015,0,0,,,
3.6.1.1.3,OilseedByproduct,Maize germ meal,Pigs,Piglet,Big<25kg,20,1,0,2014,0,0,,,
